1,NEOP GENERAL,1
2,NEOP Peraturan Perusahaan &amp; Grooming,1
3,Digital Awareness NEOP General,1
4,Digital Awareness Series 2 NEOP General,1
5,Safety Security 2018,1
6,KALBE PANCA SRADHA,1
7,Etika Bisnis,1
8,IT SECURITY 2020,1
9,IT SECURITY 2021,1
10,IT UPDATE OS AND APPS,1
11,NEOP WAREHOUSE,2
12,MSBW_Refreshment Course 1,2
13,MSBW_Refreshment Course 2,2
14,MSBW_Refreshment Course 3,2
15,MSBW_Refreshment Course 4,2
16,MSBW_Refreshment Course 5,2
17,Peraturan Perusahaan &amp; Grooming,2
18,Digital Awareness,2
19,Digital Awareness Series 2,2
20,Safety Security 2018,2
21,KALBE PANCA SRADHA,2
22,Etika Bisnis,2
23,NEOP TRANSPORTATION,3
24,NEOP Peraturan Perusahaan &amp; Grooming,3
25,Digital Awareness NEOP Transportation,3
26,Digital Awareness Series 2 NEOP Transportation,3
27,Safety Security 2018,3
28,KALBE PANCA SRADHA,3
29,Etika Bisnis,3
30,CDOB 2020,4
31,CDAKB 2020,5
32,Sertifikasi Halal,6
33,Safety Security 2019,7
34,IT SECURITY 2021,8
35,Warehouse,9
36,Post Test Warehouse,9
37,E-Transportation,10
38,New Mindset Salesmanship,11
39,Operational Excellence,12
40,Leadership,13
41,Communication And Human Relation Part 1,14
42,BEP,15
43,INNO TALK,16
44,Etika Bisnis,17
45,Etika Bisnis 2022 Pelanggaran,18
67,IT Security Email Phishing,21
49,Video BEP Episode 2,20
66,IK-RDC-TRP-004 Loading R15 ( SPV Warehouse & SPV Transportasi & Koordinator WHS & TRP ),19
62,IK-QHS-MR-030 Kualifikasi Mesin Dan Peralatan,19
63,IK-QHS-MR-020 Validasi Pengiriman Cold Chain Product (CCP)  R1,19
64,IK-OPR-WHS-017 Penanganan Produk Khusus (Psikotropika & Bahan Berbahaya dll) R5,19
65,IK-OPR-WHS-044 Petunjuk Pengoperasian Dan Pemeliharaan Container Chiller R1,19
68,QHS-SOP-QHS-MR-092 Surat Pesanan Elektronik (E-SP) Cabang ke DC ( APJ & PJT EPM & DC ),19
69,QHS-SOP-QHS-MR-041  Prosedur Penarikan Produk ( Recal ) R3,19
70,QHS-IK-QHS-MR-035 Pelaporan Produk Ke Badan Regulasi R1,19
71,Penangan Produk Sitostatika,22
72,OPR-WHS-SOP-OPR-WHS-003 Prosedur Penerimaan Retur Dari Pelanggan R19 ( KSA & SSD & TRP SPV & WHSMAN & WHS COR ),19
74,OPR-WHS-SOP-OPR-WHS-016 Stock Opname Persediaan Produk R9 ( Data Proses & WHS COR & WHS SPV & KSA ),19
75,E-Court,23
77,QHS-IK-QHS-MR-023 Kualifikasi Pemasok R5 Hanya Untuk ( SM & ABM & APJ & PJT & KSA & SEKRE ),19
78,QHS-SOP-QHS-MR-075 Prosedur Pemusnahan Produk R3,19
79,FA Modul,24
80,QHS-SOP-QHS-MR-004 SOP Pengendalian Dokumen Internal R8,19
81,QHS-SOP-QHS-MR-064 Prosedur Penanganan Produk Kesehatan Melalui Mekanisme Jalur Khusus R2,19
82,QHS-IK-QHS-MR-001 IK Tata Cara Pembuatan & Perubahan & Pengesahan & Penomoran Dokumen SOP & IK & Form R17,19
83,IK-QHS-MR-036 Desain Bangunan Dan Peralatan R1,19
84,MOdul Fatigue,25
85,QHS-IK-QHS-MR-021 Pemetaan Atau Mapping Suhu Fasilitas Gudang R4,19
86,QHS-SOP-QHS-MR-074 Penyiapan Dan Pengemasan produk Below 25 R1,19
87,SOP-RDC-TRP-001 Prosedur Pengiriman Reguler R7,19
88,IK-QHS-MR-034 Pemeriksaan Rutin Kendaraan Internal R1,19
89,Storytelling With Data,26
90,SOP-FA-AKS-040 Penjualan Asset Perusahaan ( Tanah Dan Bangunan ),19
91,SOP-FA-AKS-026 Fixed Asset Management R3,19
92,SOP-FA-AKS-025 Labelling Asset R3,19
93,SOP-QHS-MR-015 Prosedur Pelaporan Investigasi Dan Kecelakaan R5,19
113,SOP-QHS-MR-017 Kesiagaan & Tanggap Darurat R7,19
95,SOP-QHS-MR-026 Prosedur PEngendalian Ketinggian R5,19
96,IK-QHS-MR-006 Penanggulangan Tumpahan Bahan Kimia R3,19
97,IK-QHS-MR-008 Mengangkat Secara Manual R3,19
98,IK-RDC-WHS-008 Penyiapan Produk Direct ( Picking Direct ) R2,19
99,IK-RDC-WHS-009 Penguncian Pintu Dock Receiving R2,19
100,IK-RDC-WHS-014 Tranfer Barang (Handheld ) R2,19
101,IK-RDC-WHS-015 Pack LPN R2,19
102,IK-RDC-WHS-016 Unpack LPN R2,19
103,IK-RDC-WHS-017 Split LPN R2,19
104,IK-RDC-WHS-018 Melihat Data Stock ( Handheld ) R2,19
106,IK-RDC-WHS-020 Penyiapan Produk Singgle Inventory ( Move Order ) R2,19
107,IK-RDC-WHS-026 Fisik Masuk Gudang ( Tranfer Dari Retur ) R2,19
108,IK-RDC-WHS-035 Penyiapan Barang Reguler Dan Single Inventory Secara Manual Karena Sistem Down R2,19
109,IK-RDC-WHS-047 Pencetakan Label LPN R2,19
110,IK-RDC-WHS-043 Pemeriksaan Receiver Dengan SJ-SP-DO-Packing List-Invoice R2,19
111,IK-RDC-WHS-054 Pencetakan Ulang Receiver R2,19
112,IK-RDC-WHS-059 Repacking Produk R2,19
114,SOP-QHS-MR-017 Kesiagaan & Tanggap Darurat R7,19
115,QHS-SOP-QHS-MR-003 Pengendalian Dokumen (Internal & Eksternal & Catatan),19
116,SLS-SOP-DIR-SLS-009 Taking Order R2,19
117,SOP-GA-PL-003 Perawatan Kendaraan Operasional Kantor,19
118,SOP-GA-PL-004 Prosedur Pemeliharaan & Perbaikan Gudang,19
119,SOP-GA-PL-005 Prosedur Sewa Mesin Fotocopy,19
120,SOP-GA-PL-006 Prosedur Petugas Kebersihan ( Cleaning Service ),19
121,SOP-GA-PL-007 Prosedur Pengiriman Barang & Dokument Rahasia Atau Penting,19
122,SOP-GA-PL-008 Monitoring Fungsi CCTV,19
123,SOP-GA-PL-009 Prosedur Pengembangan kopetensi satpam,19
124,SOP-GA-PL-010 Prosedur Pemeriksaan Karyawan & Tamu,19
125,SOP-GA-PL-012 Penanganan Ancaman Bom,19
126,SOP-GA-PL-013 Prosedur Penanganan Limbah B3 Di TPS B3,19
127,SOP-GA-PL-014 Prosedur Penanganan Medis Bagi Karyawan Di Lingkungan Kerja,19
128,SOP-QHS-MR-019 Prosedur Alat Pemadam Api Ringan ( APAR ) R6,19
129,IK-RDC-WHS-004 Penerimaan Barang R15,19
130,IK-RDC-WHS-010 Penyimpanan  R8,19
131,IK-HRD-TRG-001 Ik Pelaksanaan Training R6,19
132,SOP-GA-PL-011 Prosedur Penanganan Demo Dan Huru Hara,19
133,IK-OPR-WHS-022 Pengeluaran Barang Menggunakan Delivery Order Manual R7,19
134,IK-QHS-WHS-001 Penerimaan Pengeluaran Dan Obname Pallet,19
135,IK-RDC-WHS-048 Pelaksanaan Stock Opname R2,19
136,SOP-OPR-WHS-006 Klaim Ke Ekspeditur R6,19
137,VIDEO BEP EPISODE 3,27
139,SOP-OPR-APJ-001 Monitoring kalibrasi Thermometer R3,19
140,IK-OPR-WHS-044 Petunjuk Pengoperasian Dan Pemeliharaan Container Chiller R3,19
141,SOP-QHS-MR-006 Manajemen Tindakan Koreksi Dan Pencegahan R10,19
142,SOP-QHS-MR-057 Pengoperasian Dan Perawatan Showcase Atau Container Chiller R1,19
143,IK-QHS-MR-049 Program Pelatihan Karyawan R4,19
144,IK-RDC-GA-044 Proses Permintaan Perbaikan Melalui SPK Online,19
145,General IT Security Awareness,28
146,Penggunaan APAR,29
147,Safety Security K3,30
148,IK-QHS-MR-022 Pemeriksaan Kesehatan Karyawan R3,19
149,IK-QHS-MR-027 Tata Cara Akses Masuk Keluar Gudang Coldroom Container Chiller R2,19
150,IK-QHS-MR-028 Pembersihan Gudang DAn Sarana Penunjang Di gudang R3,19
151,IK-QHS-MR-055 Kalibrasi Alat Ukur,19
152,IK-RDC-GA-010 Pengoperasian Rolling Door R2,19
153,IK-RDC-GA-012 Pengoperasian Dan Perawatan Dock Leveller R1,19
154,IK-RDC-TRP-029 Pengiriman Barang R10,19
155,IK-RDC-WHS-004 Penerimaan Barang R16,19
156,IK-RDC-WHS-010 Penyimpanan R9,19
157,IK-RDC-WHS-027 Relabelling - Stickering Produk R1,19
158,SOP-RDC-QS-001 Pengelolaan Limbah B3 & Non B3 R5,19
159,SOP-QHS-MR-002 Manajemen Audit R15,19
160,SOP-QHS-MR-018 Prosedur Alat Pelindung Diri R9,19
161,SOP-QHS-MR-030 Prosedur Penanganan Tumpahan Produk Golongan Sitostatika R5,19
162,SOP-QHS-MR-035 Prosedur Personal Hygiene Dan Sanitasi R5,19
163,SOP-QHS-MR-036 Prosedur Pest Control R7,19
164,SOP-QHS-MR-045 Pemantauan Suhu Penyimpanan R6,19
165,SOP-QHS-MR-050 Penanganan Produk Psikotropika R5,19
166,SOP-QHS-MR-060 Kalibrasi Alat Ukur R4,19
168,IK-QHS-MR-001 IK Tata Cara Pembuatan & Perubahan & Pengesahan & Penomoran Dokumen SOP & IK & Form R18,19
169,IK-OPR-TRP-011 Pengiriman Produk Rantai Dingain produk Obat Dan Alat Kesehatan R10,19
170,IK-QHS-MR-041 Tata Cara Penanganan Dokumen Regulatory R1,19
171,IK-RDC-TRP-023 Keamanan Barang Selama Dalam Pengiriman R4,19
172,IK-QHS-MR-020 Validasi Pengiriman R3,19
173,SOP-HRD-CD-001 Sop Promosi & Mutasi & Demosi Karyawan ,19
174,SOP-OPR-WHS-003 Prosedur Penerimaan Retur Produk Dari Pelanggan R20,19
175,SOP-CHB-SM2-002 Spreading R6,19
176,SOP-CHB-SM2-005 Trade Promo Development R5,19
177,SOP-CHB-SM2-007 Pesanan Tambahan R6,19
178,SOP-QHS-MR-059 Manajemen Resiko Mutu R2,19
179,IK-OPR-APJ-014 Tata Laksana SPTT,19
180,SOP-QHS-MR-062 Government Relation R2,19
181,SOP-QHS-MR-076 Prosedur Perjanjian Kualitas ( Quality Agreement ) R1,19
182,SOP-QHS-MR-014 Prosedur Pemantauan Dan Pengukuran Lingkungan Kerja R4,19
183,SOP-QHS-MR-010 Prosedur Seleksi Kualifikasi & Evaluasi Pihak Ketiga ( Vendor Outsource ) R10,19
184,SOP-QHS-MR-068 Challenge Test R1,19
185,SOP-QHS-MR-058 Penanganan Produk OMPF Dan OOT R1,19
186,SOP-QHS-MR-001 SOP Sasaran Mutu R7,19
187,IK-RDC-PPS-001 Pembuatan Rencana Pengiriman ( Monthly ) R4,19
188,SOP-QHS-MR-063 SOP Labeling Atau Relabeling Khusus Alkes R2,19
189,SOP-QHS-MR-009 Penanganan Keluhan Pelanggan R2,19
190,BEP 4,31
191,SOP-PST-IA-010 Risk Assesment Strategic Risk R1,19
192,IK-PST-IA-010 Risk Appetite Dan Risk Tolerance R1,19
193,IK-PST-IA-013 Fokus Risk R1,19
194,IK-SM-CHB-001 Coverage Planning R4,19
195,IK-SM-CHB-002 Evaluasi Coverage R4,19
196,IK-SM-CHB-010 AR Collektion R4,19
197,IK-SM-CHB-012 Produk Portfolio Management R4,19
